Land,Leeftijd,Vrouw,Man,Transgender,Totaal
Slovenia,<15,0,0,0,0
Slovenia,15-19,0,0,0,0
Slovenia,20-24,0,1,0,1
Slovenia,25-29,0,3,0,3
Slovenia,30-39,3,8,0,11
Slovenia,40-49,1,12,0,13
Slovenia,50+,5,10,0,15
Spain,<15,1,2,0,3
Spain,15-19,6,15,0,21
Spain,20-24,28,90,0,118
Spain,25-29,59,224,0,283
Spain,30-39,140,899,0,1046
Spain,40-49,116,557,0,678
Spain,50+,113,469,0,584
Sweden,<15,0,0,0,0
Sweden,15-19,0,1,0,1
Sweden,20-24,0,1,0,1
Sweden,25-29,1,2,0,3
Sweden,30-39,41,49,0,90
Sweden,40-49,27,53,0,80
Sweden,50+,19,46,0,65
